,id,instrument,instrument_id,k,currency,currency_base,Cashflow,Cashflow_Type,Maturity_Amount,Face_value,curve,current_date,Cash_flow_Dates,holiday,Actual_Cash_flow_date,maturity_date,frequency,residual_maturity_expected,residual_maturity_Actual,lower_tenor,upper_tenor,lower_tenor_val,upper_tenor_val,lower_maturity,upper_maturity,split_curve,accounting_book,accounting_portfolio,mark_up_value,intbasis,key,c_date,m_date_E,m_date_A,lower_tenor_key,upper_tenor_key,lower_rates,upper_rates,Interpolated_rates,spread_rates,YTM,maturity_period_E,maturity_period_A,no_of_days_in_a_year,cashflow_mtm,variable,value,interpolated_curve_rates,spreads_all,env,all_mtm
3147,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,135,6.297546754827264,5.123736263736264,1.173810491091,135,4873.624252311812
3148,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,136,6.361878631813418,5.207582417582418,1.154296214231,136,4872.388398404989
3149,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,137,6.386516606742374,5.153626373626373,1.232890233116,137,4871.915369044132
3150,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,138,6.353329793555561,5.120439560439561,1.232890233116,138,4872.552565584871
3151,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,139,6.348445012353373,5.083626373626373,1.264818638727,139,4872.646378639653
3152,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,140,6.236956167181935,5.004065934065935,1.232890233116,140,4874.789204865011
3153,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,141,6.48071897204756,5.15043956043956,1.330279411608,141,4870.1081917862575
3154,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,142,6.318774682683045,5.0539560439560445,1.264818638727,142,4873.216333782096
3155,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,143,6.2173269746074835,5.043516483516483,1.173810491091,143,4875.166810240847
3156,PF001,IN1520190101PF,16803,2,INR,INR,5000,C,200000,100,INRZeroCurve,20-04-2020,20-09-2020,Y,21-09-2020,20-06-2021,3,152,153,025m,050m,025m,050m,91,182,INRZeroCurve,1,1,0,1,IN1520190101PF_2,2020-04-20,2020-09-19,2020-09-20,INRZeroCurve_025m,INRZeroCurve_050m,5.04,5.17,5.127142857142857,1.123651041401,6.250793898543857,152,153,365,4874.523068913979,144,6.361961495869858,5.097142857142858,1.264818638727,144,4872.38680722094
